vulnerability_index,total_victim,sex,ethnic_group,classification,victimization_fact,commune,date_processing,year
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,1,2022-10-03 00:00:00,2022
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,21,2015-04-30 00:00:00,2015
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,21,2013-10-23 00:00:00,2013
7,70650,Femenino,Mestizo,Adulthood,Delitos contra la libertad y la integridad sexual en desarrollo del conflicto armado,16,2020-12-03 00:00:00,2020
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,14,2013-11-07 00:00:00,2013
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,14,2016-12-30 00:00:00,2016
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,14,2013-10-29 00:00:00,2013
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,1,2012-07-17 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,15,2019-12-02 00:00:00,2019
8,70650,Femenino,Otro,Older adults,Desplazamiento forzado,12,2023-10-09 00:00:00,2023
7,70650,Femenino,Moreno,Youth,Desplazamiento forzado,13,2012-06-19 00:00:00,2012
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,6,2015-07-16 00:00:00,2015
9,70650,Femenino,Indigena,Childhood,Desplazamiento forzado,21,2012-08-08 00:00:00,2012
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,6,2019-06-25 00:00:00,2019
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,21,2019-05-11 00:00:00,2019
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,16,2016-09-20 00:00:00,2016
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,21,2012-09-21 00:00:00,2012
7,70650,Masculino,Otro,Childhood,Desplazamiento forzado,14,2013-06-28 00:00:00,2013
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,21,2018-10-17 00:00:00,2018
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,16,2012-06-15 00:00:00,2012
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,18,2022-11-30 00:00:00,2022
6,70650,Masculino,Moreno,Adulthood,Desplazamiento forzado,4,2022-08-17 00:00:00,2022
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,15,2017-07-13 00:00:00,2017
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,14,2021-04-05 00:00:00,2021
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,21,2017-03-14 00:00:00,2017
8,70650,Femenino,Mestizo,Older adults,Desplazamiento forzado,6,2017-06-21 00:00:00,2017
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,21,2013-09-03 00:00:00,2013
7,70650,Masculino,Negro,Childhood,Desplazamiento forzado,13,2013-12-10 00:00:00,2013
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,12,2014-07-07 00:00:00,2014
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,21,2012-12-10 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,21,2019-08-29 00:00:00,2019
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,16,2012-11-06 00:00:00,2012
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,14,2022-08-28 00:00:00,2022
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2013-11-07 00:00:00,2013
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,9,2020-10-28 00:00:00,2020
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,7,2015-07-22 00:00:00,2015
8,70650,Femenino,Indigena,Adulthood,Desplazamiento forzado,7,2021-11-11 00:00:00,2021
6,70650,Masculino,Negro,Youth,Desplazamiento forzado,13,2019-10-04 00:00:00,2019
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,18,2012-06-06 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,3,2014-10-08 00:00:00,2014
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,13,2013-09-15 00:00:00,2013
7,70650,Femenino,Afrodescendiente,Youth,Eventos masivos,16,2016-05-25 00:00:00,2016
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,7,2015-11-28 00:00:00,2015
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,21,2017-09-20 00:00:00,2017
6,70650,Masculino,Negro,Adulthood,Desplazamiento forzado,14,2012-09-07 00:00:00,2012
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,6,2016-10-28 00:00:00,2016
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,15,2020-11-24 00:00:00,2020
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,7,2017-06-23 00:00:00,2017
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,15,2012-10-17 00:00:00,2012
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,18,2021-11-05 00:00:00,2021
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,5,2023-11-01 00:00:00,2023
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,4,2023-11-04 00:00:00,2023
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,13,2013-10-08 00:00:00,2013
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,18,2012-06-05 00:00:00,2012
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,16,2020-12-05 00:00:00,2020
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,20,2020-04-26 00:00:00,2020
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2023-06-09 00:00:00,2023
6,70650,Masculino,Otro,Adulthood,Desplazamiento forzado,8,2013-10-24 00:00:00,2013
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,15,2022-10-05 00:00:00,2022
6,70650,Masculino,Otro,Youth,Desplazamiento forzado,21,2013-11-07 00:00:00,2013
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2023-05-25 00:00:00,2023
6,70650,Masculino,Negro,Adulthood,Desplazamiento forzado,11,2022-10-31 00:00:00,2022
9,70650,Femenino,Indigena,Childhood,Desplazamiento forzado,15,2014-07-07 00:00:00,2014
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,13,2013-09-20 00:00:00,2013
8,70650,Femenino,Negro,Older adults,Desplazamiento forzado,13,2019-08-01 00:00:00,2019
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,16,2022-02-18 00:00:00,2022
