fecha_corte,nom_rpt,cod_pais,pais,cod_estado_depto,estado_depto,vigencia,param_hecho,hecho,sexo,etnia,discapacidad,ciclo_vital,per_ocu,per_llegada,eventos
2023-11-30,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,27,Choco,2021,5,Desplazamiento forzado,Mujer,Palenquero,Multiple,entre 61 y 100,1,0,1
2026-02-28,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,99,Vichada,2016,5,Desplazamiento forzado,Hombre,Ninguna,Ninguna,entre 0 y 5,3,0,3
2025-01-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,25,Cundinamarca,2012,5,Desplazamiento forzado,Mujer,Ninguna,Psicosocial (Mental),entre 18 y 28,1,1,1
2026-02-28,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,27,Choco,2012,5,Desplazamiento forzado,Mujer,Indigena,Ninguna,entre 60 y 110,81,8,89
2026-02-28,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,13,Bolivar,2022,5,Desplazamiento forzado,Mujer,Indigena,Ninguna,entre 6 y 11,8,9,9
2025-02-28,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,68,Santander,2021,5,Desplazamiento forzado,Mujer,Indigena,Ninguna,entre 12 y 17,0,1,0
2024-05-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,8,Atlantico,2015,5,Desplazamiento forzado,Hombre,Indigena,Visual,entre 29 y 60,0,1,0
2023-12-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,94,Guainia,2020,5,Desplazamiento forzado,Hombre,Ninguna,Ninguna,entre 6 y 11,2,4,2
2025-03-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,86,Putumayo,2023,5,Desplazamiento forzado,Hombre,Ninguna,Ninguna,entre 60 y 110,229,188,229
2025-03-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,18,Caqueta,2012,5,Desplazamiento forzado,Hombre,Ninguna,Fisica,entre 18 y 28,17,14,17
2025-11-30,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,86,Putumayo,2023,5,Desplazamiento forzado,Hombre,Ninguna,Ninguna,entre 12 y 17,360,260,366
2025-04-30,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,76,Valle del Cauca,2024,5,Desplazamiento forzado,Hombre,Palenquero,Ninguna,entre 6 y 11,3,4,4
2026-01-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,23,Cordoba,2022,5,Desplazamiento forzado,Mujer,Ninguna,Por Establecer,entre 60 y 110,2,0,0
2025-12-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,47,Magdalena,2012,5,Desplazamiento forzado,Mujer,Ninguna,Ninguna,entre 60 y 110,179,123,183
2025-07-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,99,Vichada,2023,5,Desplazamiento forzado,Hombre,Ninguna,Visual,entre 29 y 59,1,0,1
2025-02-28,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,41,Huila,2013,5,Desplazamiento forzado,Mujer,Ninguna,Multiple,entre 18 y 28,6,9,6
2023-10-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,76,Valle del Cauca,2023,5,Desplazamiento forzado,Mujer,Indigena,Multiple,entre 18 y 28,0,1,0
2026-02-28,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,95,Guaviare,2016,5,Desplazamiento forzado,Mujer,Ninguna,Ninguna,entre 6 y 11,28,17,28
2025-02-28,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,63,Quindio,2014,5,Desplazamiento forzado,Mujer,Indigena,Ninguna,entre 18 y 28,2,15,2
